,County,WRIA Number,Site,Lab Sample Number,Collect Date,Parameter,Dominance,loc_idx,geometry
177,Clark,28.0,Lacamas,L55983-1,06/26/2012,Aulacoseira sp.,Present,149,POINT (-122.425293 45.616562)
178,Clark,28.0,Lacamas,L55983-1,06/26/2012,Cryptomonas sp.,Present,149,POINT (-122.425293 45.616562)
179,Clark,28.0,Lacamas,L55983-1,06/26/2012,Fragilaria sp.,Subdominant,149,POINT (-122.425293 45.616562)
180,Clark,28.0,Lacamas,L55983-1,06/26/2012,Gomphonema sp.,Present,149,POINT (-122.425293 45.616562)
181,Clark,28.0,Lacamas,L55983-1,06/26/2012,Synedra sp.,Present,149,POINT (-122.425293 45.616562)
182,Clark,28.0,Lacamas,L55983-1,06/26/2012,Undetermined Filament,Present,149,POINT (-122.425293 45.616562)
183,Clark,28.0,Lacamas,L55983-1,06/26/2012,Woronichinia sp.,Present,149,POINT (-122.425293 45.616562)
184,Clark,28.0,Lacamas,L49136-1,09/17/2009,Anabaena: trichome regularly coiled,Present,149,POINT (-122.425293 45.616562)
185,Clark,28.0,Lacamas,L49136-1,09/17/2009,Anabaena: trichome straight,Subdominant,149,POINT (-122.425293 45.616562)
186,Clark,28.0,Lacamas,L49136-1,09/17/2009,Anacystis sp.,Present,149,POINT (-122.425293 45.616562)
187,Clark,28.0,Lacamas,L49136-1,09/17/2009,Aphanizomenon sp.,Dominant,149,POINT (-122.425293 45.616562)
188,Clark,28.0,Lacamas,L49136-1,09/17/2009,Closteriopsis sp.,Present,149,POINT (-122.425293 45.616562)
189,Clark,28.0,Lacamas,L49136-1,09/17/2009,Cryptomonas sp.,Present,149,POINT (-122.425293 45.616562)
190,Clark,28.0,Lacamas,L49136-1,09/17/2009,Fragilaria sp.,Present,149,POINT (-122.425293 45.616562)
191,Clark,28.0,Lacamas,L49136-1,09/17/2009,Microcystis sp.,Present,149,POINT (-122.425293 45.616562)
192,Clark,28.0,Lacamas,L49136-1,09/17/2009,Trachelomonas sp.,Present,149,POINT (-122.425293 45.616562)
193,Clark,28.0,Lacamas,L49136-1,09/17/2009,Woronichinia sp.,Present,149,POINT (-122.425293 45.616562)
194,Clark,28.0,Round,L49136-2,09/17/2009,Anabaena: trichome straight,Subdominant,235,POINT (-122.749907 45.730463)
195,Clark,28.0,Round,L49136-2,09/17/2009,Anacystis sp.,Present,235,POINT (-122.749907 45.730463)
196,Clark,28.0,Round,L49136-2,09/17/2009,Aphanizomenon sp.,Dominant,235,POINT (-122.749907 45.730463)
197,Clark,28.0,Round,L49136-2,09/17/2009,Botryococcus sp.,Present,235,POINT (-122.749907 45.730463)
198,Clark,28.0,Round,L49136-2,09/17/2009,Ceratium sp.,Present,235,POINT (-122.749907 45.730463)
199,Clark,28.0,Round,L49136-2,09/17/2009,Cryptomonas sp.,Present,235,POINT (-122.749907 45.730463)
200,Clark,28.0,Round,L49136-2,09/17/2009,Fragilaria sp.,Present,235,POINT (-122.749907 45.730463)
201,Clark,28.0,Round,L49136-2,09/17/2009,Microcystis sp.,Present,235,POINT (-122.749907 45.730463)
202,Clark,28.0,Round,L49136-2,09/17/2009,Pediastrum sp.,Present,235,POINT (-122.749907 45.730463)
203,Clark,28.0,Round,L49136-2,09/17/2009,Synedra sp.,Present,235,POINT (-122.749907 45.730463)
204,Clark,28.0,Round,L49136-2,09/17/2009,Woronichinia sp.,Present,235,POINT (-122.749907 45.730463)
205,Clark,28.0,Vancouver,L61085-1,09/02/2014,Actinastrum sp.,Present,286,POINT (-122.720457 45.679084)
206,Clark,28.0,Vancouver,L61085-1,09/02/2014,Anabaena: trichome irregularly twisted,Present,286,POINT (-122.720457 45.679084)
207,Clark,28.0,Vancouver,L61085-1,09/02/2014,Anabaena: trichome straight,Present,286,POINT (-122.720457 45.679084)
208,Clark,28.0,Vancouver,L61085-1,09/02/2014,Aphanizomenon sp.,Dominant,286,POINT (-122.720457 45.679084)
209,Clark,28.0,Vancouver,L61085-1,09/02/2014,Aulacoseira sp.,Subdominant,286,POINT (-122.720457 45.679084)
210,Clark,28.0,Vancouver,L61085-1,09/02/2014,Botryococcus sp.,Present,286,POINT (-122.720457 45.679084)
211,Clark,28.0,Vancouver,L61085-1,09/02/2014,Chlamydomonas sp.,Present,286,POINT (-122.720457 45.679084)
212,Clark,28.0,Vancouver,L61085-1,09/02/2014,Coelastrum sp.,Present,286,POINT (-122.720457 45.679084)
213,Clark,28.0,Vancouver,L61085-1,09/02/2014,Cosmarium sp.,Present,286,POINT (-122.720457 45.679084)
214,Clark,28.0,Vancouver,L61085-1,09/02/2014,Cryptomonas sp.,Present,286,POINT (-122.720457 45.679084)
215,Clark,28.0,Vancouver,L61085-1,09/02/2014,Mallomonas sp.,Present,286,POINT (-122.720457 45.679084)
216,Clark,28.0,Vancouver,L61085-1,09/02/2014,Merismopedia sp.,Present,286,POINT (-122.720457 45.679084)
217,Clark,28.0,Vancouver,L61085-1,09/02/2014,Microcystis sp.,Present,286,POINT (-122.720457 45.679084)
218,Clark,28.0,Vancouver,L61085-1,09/02/2014,Pediastrum sp.,Present,286,POINT (-122.720457 45.679084)
219,Clark,28.0,Vancouver,L61085-1,09/02/2014,Scenedesmus sp.,Present,286,POINT (-122.720457 45.679084)
220,Clark,28.0,Vancouver,L61085-1,09/02/2014,Sphaerocystis sp.,Present,286,POINT (-122.720457 45.679084)
221,Clark,28.0,Vancouver,L61085-1,09/02/2014,Staurastrum sp.,Present,286,POINT (-122.720457 45.679084)
222,Clark,28.0,Vancouver,L61085-1,09/02/2014,Stephanodiscus sp.,Present,286,POINT (-122.720457 45.679084)
223,Clark,28.0,Vancouver,L61085-1,09/02/2014,Synedra sp.,Present,286,POINT (-122.720457 45.679084)
224,Clark,28.0,Vancouver,L61085-1,09/02/2014,Undetermined Centric Diatom,Present,286,POINT (-122.720457 45.679084)
225,Clark,28.0,Vancouver,L61085-1,09/02/2014,Undetermined Pennate Diatom,Present,286,POINT (-122.720457 45.679084)
226,Clark,28.0,Vancouver,L61085-1,09/02/2014,Unicellular Green 1-3 microns,Present,286,POINT (-122.720457 45.679084)
227,Clark,28.0,Vancouver,L61057-1,08/26/2014,Actinastrum sp.,Present,286,POINT (-122.720457 45.679084)
228,Clark,28.0,Vancouver,L61057-1,08/26/2014,Anabaena: trichome irregularly twisted,Present,286,POINT (-122.720457 45.679084)
229,Clark,28.0,Vancouver,L61057-1,08/26/2014,Anabaena: trichome straight,Present,286,POINT (-122.720457 45.679084)
230,Clark,28.0,Vancouver,L61057-1,08/26/2014,Anacystis sp.,Present,286,POINT (-122.720457 45.679084)
231,Clark,28.0,Vancouver,L61057-1,08/26/2014,Ankistrodesmus sp.,Present,286,POINT (-122.720457 45.679084)
232,Clark,28.0,Vancouver,L61057-1,08/26/2014,Aphanizomenon sp.,Subdominant,286,POINT (-122.720457 45.679084)
233,Clark,28.0,Vancouver,L61057-1,08/26/2014,Aulacoseira sp.,Dominant,286,POINT (-122.720457 45.679084)
234,Clark,28.0,Vancouver,L61057-1,08/26/2014,Botryococcus sp.,Present,286,POINT (-122.720457 45.679084)
235,Clark,28.0,Vancouver,L61057-1,08/26/2014,Coelastrum sp.,Present,286,POINT (-122.720457 45.679084)
236,Clark,28.0,Vancouver,L61057-1,08/26/2014,Cosmarium sp.,Present,286,POINT (-122.720457 45.679084)
237,Clark,28.0,Vancouver,L61057-1,08/26/2014,Cryptomonas sp.,Present,286,POINT (-122.720457 45.679084)
238,Clark,28.0,Vancouver,L61057-1,08/26/2014,Melosira sp.,Present,286,POINT (-122.720457 45.679084)
239,Clark,28.0,Vancouver,L61057-1,08/26/2014,Microcystis sp.,Present,286,POINT (-122.720457 45.679084)
240,Clark,28.0,Vancouver,L61057-1,08/26/2014,Navicula sp.,Present,286,POINT (-122.720457 45.679084)
241,Clark,28.0,Vancouver,L61057-1,08/26/2014,Nephrocytium sp.,Present,286,POINT (-122.720457 45.679084)
242,Clark,28.0,Vancouver,L61057-1,08/26/2014,Pediastrum sp.,Present,286,POINT (-122.720457 45.679084)
243,Clark,28.0,Vancouver,L61057-1,08/26/2014,Scenedesmus sp.,Present,286,POINT (-122.720457 45.679084)
244,Clark,28.0,Vancouver,L61057-1,08/26/2014,Staurastrum sp.,Present,286,POINT (-122.720457 45.679084)
245,Clark,28.0,Vancouver,L61057-1,08/26/2014,Stephanodiscus sp.,Present,286,POINT (-122.720457 45.679084)
246,Clark,28.0,Vancouver,L61057-1,08/26/2014,Synedra sp.,Present,286,POINT (-122.720457 45.679084)
247,Clark,28.0,Vancouver,L61057-1,08/26/2014,Unicellular Green 1-3 microns,Present,286,POINT (-122.720457 45.679084)
248,Clark,28.0,Vancouver,L60995-1,08/19/2014,Actinastrum sp.,Present,286,POINT (-122.720457 45.679084)
249,Clark,28.0,Vancouver,L60995-1,08/19/2014,Anabaena: trichome irregularly twisted,Present,286,POINT (-122.720457 45.679084)
250,Clark,28.0,Vancouver,L60995-1,08/19/2014,Anabaena: trichome straight,Present,286,POINT (-122.720457 45.679084)
251,Clark,28.0,Vancouver,L60995-1,08/19/2014,Anacystis sp.,Present,286,POINT (-122.720457 45.679084)
252,Clark,28.0,Vancouver,L60995-1,08/19/2014,Ankistrodesmus sp.,Present,286,POINT (-122.720457 45.679084)
253,Clark,28.0,Vancouver,L60995-1,08/19/2014,Aphanizomenon sp.,Subdominant,286,POINT (-122.720457 45.679084)
254,Clark,28.0,Vancouver,L60995-1,08/19/2014,Arthrodesmus sp.,Present,286,POINT (-122.720457 45.679084)
255,Clark,28.0,Vancouver,L60995-1,08/19/2014,Aulacoseira sp.,Dominant,286,POINT (-122.720457 45.679084)
256,Clark,28.0,Vancouver,L60995-1,08/19/2014,Ceratium sp.,Present,286,POINT (-122.720457 45.679084)
257,Clark,28.0,Vancouver,L60995-1,08/19/2014,Cryptomonas sp.,Present,286,POINT (-122.720457 45.679084)
258,Clark,28.0,Vancouver,L60995-1,08/19/2014,Microcystis sp.,Present,286,POINT (-122.720457 45.679084)
259,Clark,28.0,Vancouver,L60995-1,08/19/2014,Pediastrum sp.,Present,286,POINT (-122.720457 45.679084)
260,Clark,28.0,Vancouver,L60995-1,08/19/2014,Scenedesmus sp.,Present,286,POINT (-122.720457 45.679084)
261,Clark,28.0,Vancouver,L60995-1,08/19/2014,Staurastrum sp.,Present,286,POINT (-122.720457 45.679084)
262,Clark,28.0,Vancouver,L60995-1,08/19/2014,Stephanodiscus sp.,Present,286,POINT (-122.720457 45.679084)
263,Clark,28.0,Vancouver,L60995-1,08/19/2014,Synedra sp.,Present,286,POINT (-122.720457 45.679084)
264,Clark,28.0,Vancouver,L60995-1,08/19/2014,Undetermined Filament,Present,286,POINT (-122.720457 45.679084)
265,Clark,28.0,Vancouver,L60995-1,08/19/2014,Unicellular Green 4-7 microns,Present,286,POINT (-122.720457 45.679084)
266,Clark,28.0,Vancouver,L60926-1,08/12/2014,Actinastrum sp.,Present,286,POINT (-122.720457 45.679084)
267,Clark,28.0,Vancouver,L60926-1,08/12/2014,Anabaena: trichome straight,Subdominant,286,POINT (-122.720457 45.679084)
268,Clark,28.0,Vancouver,L60926-1,08/12/2014,Anacystis sp.,Present,286,POINT (-122.720457 45.679084)
269,Clark,28.0,Vancouver,L60926-1,08/12/2014,Ankistrodesmus sp.,Present,286,POINT (-122.720457 45.679084)
270,Clark,28.0,Vancouver,L60926-1,08/12/2014,Aphanizomenon sp.,Present,286,POINT (-122.720457 45.679084)
271,Clark,28.0,Vancouver,L60926-1,08/12/2014,Aulacoseira sp.,Dominant,286,POINT (-122.720457 45.679084)
272,Clark,28.0,Vancouver,L60926-1,08/12/2014,Ceratium sp.,Present,286,POINT (-122.720457 45.679084)
273,Clark,28.0,Vancouver,L60926-1,08/12/2014,Cosmarium sp.,Present,286,POINT (-122.720457 45.679084)
274,Clark,28.0,Vancouver,L60926-1,08/12/2014,Fragilaria sp.,Present,286,POINT (-122.720457 45.679084)
275,Clark,28.0,Vancouver,L60926-1,08/12/2014,Mallomonas sp.,Present,286,POINT (-122.720457 45.679084)
276,Clark,28.0,Vancouver,L60926-1,08/12/2014,Microcystis sp.,Present,286,POINT (-122.720457 45.679084)
277,Clark,28.0,Vancouver,L60926-1,08/12/2014,Pediastrum sp.,Present,286,POINT (-122.720457 45.679084)
278,Clark,28.0,Vancouver,L60926-1,08/12/2014,Scenedesmus sp.,Present,286,POINT (-122.720457 45.679084)
279,Clark,28.0,Vancouver,L60926-1,08/12/2014,Staurastrum sp.,Present,286,POINT (-122.720457 45.679084)
280,Clark,28.0,Vancouver,L60926-1,08/12/2014,Stephanodiscus sp.,Present,286,POINT (-122.720457 45.679084)
281,Clark,28.0,Vancouver,L60926-1,08/12/2014,Synedra sp.,Present,286,POINT (-122.720457 45.679084)
282,Clark,28.0,Vancouver,L60926-1,08/12/2014,Trachelomonas sp.,Present,286,POINT (-122.720457 45.679084)
283,Clark,28.0,Vancouver,L60926-1,08/12/2014,Undetermined Pennate Diatom,Present,286,POINT (-122.720457 45.679084)
284,Clark,28.0,Vancouver,L60926-1,08/12/2014,Unicellular Green 1-3 microns,Present,286,POINT (-122.720457 45.679084)
285,Clark,28.0,Vancouver,L60926-1,08/12/2014,Unicellular Green 8-10 microns,Present,286,POINT (-122.720457 45.679084)
286,Clark,28.0,Vancouver,L60873-1,08/05/2014,Actinastrum sp.,Present,286,POINT (-122.720457 45.679084)
287,Clark,28.0,Vancouver,L60873-1,08/05/2014,Anabaena: trichome irregularly twisted,Dominant,286,POINT (-122.720457 45.679084)
288,Clark,28.0,Vancouver,L60873-1,08/05/2014,Anabaena: trichome regularly coiled,Present,286,POINT (-122.720457 45.679084)
289,Clark,28.0,Vancouver,L60873-1,08/05/2014,Anabaena: trichome straight,Present,286,POINT (-122.720457 45.679084)
290,Clark,28.0,Vancouver,L60873-1,08/05/2014,Anacystis sp.,Present,286,POINT (-122.720457 45.679084)
291,Clark,28.0,Vancouver,L60873-1,08/05/2014,Ankistrodesmus sp.,Present,286,POINT (-122.720457 45.679084)
292,Clark,28.0,Vancouver,L60873-1,08/05/2014,Aphanizomenon sp.,Present,286,POINT (-122.720457 45.679084)
293,Clark,28.0,Vancouver,L60873-1,08/05/2014,Aulacoseira sp.,Subdominant,286,POINT (-122.720457 45.679084)
294,Clark,28.0,Vancouver,L60873-1,08/05/2014,Cosmarium sp.,Present,286,POINT (-122.720457 45.679084)
295,Clark,28.0,Vancouver,L60873-1,08/05/2014,Cryptomonas sp.,Present,286,POINT (-122.720457 45.679084)
296,Clark,28.0,Vancouver,L60873-1,08/05/2014,Euglena sp.,Present,286,POINT (-122.720457 45.679084)
297,Clark,28.0,Vancouver,L60873-1,08/05/2014,Fragilaria sp.,Present,286,POINT (-122.720457 45.679084)
298,Clark,28.0,Vancouver,L60873-1,08/05/2014,Gyrosigma sp.,Present,286,POINT (-122.720457 45.679084)
299,Clark,28.0,Vancouver,L60873-1,08/05/2014,Mallomonas sp.,Present,286,POINT (-122.720457 45.679084)
300,Clark,28.0,Vancouver,L60873-1,08/05/2014,Microcystis sp.,Present,286,POINT (-122.720457 45.679084)
301,Clark,28.0,Vancouver,L60873-1,08/05/2014,Pediastrum sp.,Present,286,POINT (-122.720457 45.679084)
302,Clark,28.0,Vancouver,L60873-1,08/05/2014,Scenedesmus sp.,Present,286,POINT (-122.720457 45.679084)
303,Clark,28.0,Vancouver,L60873-1,08/05/2014,Staurastrum sp.,Present,286,POINT (-122.720457 45.679084)
304,Clark,28.0,Vancouver,L60873-1,08/05/2014,Stephanodiscus sp.,Present,286,POINT (-122.720457 45.679084)
305,Clark,28.0,Vancouver,L60873-1,08/05/2014,Synedra sp.,Present,286,POINT (-122.720457 45.679084)
306,Clark,28.0,Vancouver,L60873-1,08/05/2014,Undetermined Centric Diatom,Present,286,POINT (-122.720457 45.679084)
307,Clark,28.0,Vancouver,L60873-1,08/05/2014,Unicellular Green 1-3 microns,Present,286,POINT (-122.720457 45.679084)
308,Clark,28.0,Vancouver,L60873-1,08/05/2014,Unicellular Green 4-7 microns,Present,286,POINT (-122.720457 45.679084)
309,Clark,28.0,Vancouver,L60799-1,07/29/2014,Anabaena: trichome irregularly twisted,Dominant,286,POINT (-122.720457 45.679084)
310,Clark,28.0,Vancouver,L60799-1,07/29/2014,Anabaena: trichome straight,Present,286,POINT (-122.720457 45.679084)
311,Clark,28.0,Vancouver,L60799-1,07/29/2014,Ankistrodesmus sp.,Present,286,POINT (-122.720457 45.679084)
312,Clark,28.0,Vancouver,L60799-1,07/29/2014,Aphanizomenon sp.,Present,286,POINT (-122.720457 45.679084)
313,Clark,28.0,Vancouver,L60799-1,07/29/2014,Aphanocapsa sp.,Present,286,POINT (-122.720457 45.679084)
314,Clark,28.0,Vancouver,L60799-1,07/29/2014,Aulacoseira sp.,Subdominant,286,POINT (-122.720457 45.679084)
315,Clark,28.0,Vancouver,L60799-1,07/29/2014,Cryptomonas sp.,Present,286,POINT (-122.720457 45.679084)
316,Clark,28.0,Vancouver,L60799-1,07/29/2014,Eunotia sp.,Present,286,POINT (-122.720457 45.679084)
317,Clark,28.0,Vancouver,L60799-1,07/29/2014,Fragilaria sp.,Present,286,POINT (-122.720457 45.679084)
318,Clark,28.0,Vancouver,L60799-1,07/29/2014,Mallomonas sp.,Present,286,POINT (-122.720457 45.679084)
319,Clark,28.0,Vancouver,L60799-1,07/29/2014,Pediastrum sp.,Present,286,POINT (-122.720457 45.679084)
320,Clark,28.0,Vancouver,L60799-1,07/29/2014,Scenedesmus sp.,Present,286,POINT (-122.720457 45.679084)
321,Clark,28.0,Vancouver,L60799-1,07/29/2014,Stephanodiscus sp.,Present,286,POINT (-122.720457 45.679084)
322,Clark,28.0,Vancouver,L60799-1,07/29/2014,Synedra sp.,Present,286,POINT (-122.720457 45.679084)
323,Clark,28.0,Vancouver,L60799-1,07/29/2014,Trachelomonas sp.,Present,286,POINT (-122.720457 45.679084)
324,Clark,28.0,Vancouver,L60799-1,07/29/2014,Undetermined Pennate Diatom,Present,286,POINT (-122.720457 45.679084)
325,Clark,28.0,Vancouver,L60744-1,07/22/2014,Anabaena: trichome irregularly twisted,Dominant,286,POINT (-122.720457 45.679084)
326,Clark,28.0,Vancouver,L60744-1,07/22/2014,Anabaena: trichome regularly coiled,Present,286,POINT (-122.720457 45.679084)
327,Clark,28.0,Vancouver,L60744-1,07/22/2014,Anabaena: trichome straight,Present,286,POINT (-122.720457 45.679084)
328,Clark,28.0,Vancouver,L60744-1,07/22/2014,Aphanizomenon sp.,Present,286,POINT (-122.720457 45.679084)
329,Clark,28.0,Vancouver,L60744-1,07/22/2014,Aulacoseira sp.,Present,286,POINT (-122.720457 45.679084)
330,Clark,28.0,Vancouver,L60744-1,07/22/2014,Microcystis sp.,Subdominant,286,POINT (-122.720457 45.679084)
331,Clark,28.0,Vancouver,L58456-1,07/30/2013,Anabaena: trichome irregularly twisted,Dominant,286,POINT (-122.720457 45.679084)
