County,Site,LabSampleNum,WRIANumber,CollectDate,Parameter,Toxin Concentration (µg/L),MDL (µg/L),ExceedInd,ScumInd
Douglas,Hammond Lake,L49155-1,44,09/21/2009,Anatoxin-a,<MDL,0.038,No,No
Douglas,Hammond Lake,L49155-1,44,09/21/2009,Microcystin,0.103,0.050,No,No
Douglas,Hammond Lake,L48885-1,44,08/17/2009,Microcystin,0.238,0.050,No,No
Douglas,Hammond Lake,L48661-1,44,07/23/2009,Anatoxin-a,<MDL,0.038,No,No
Douglas,Hammond Lake,L48661-1,44,07/23/2009,Microcystin,5.090,0.050,No,No
Douglas,Hammond Lake,L48362-1,44,06/11/2009,Anatoxin-a,<MDL,0.038,No,No
Douglas,Hammond Lake,L48362-1,44,06/11/2009,Microcystin,0.322,0.050,No,No
Douglas,Hammond Lake,L46796-2,44,10/14/2008,Microcystin,0.102,0.050,No,No
Douglas,Hammond Lake,L46511-1,44,09/10/2008,Microcystin,<MDL,0.050,No,No
Douglas,Hammond Lake,L46322-1,44,08/13/2008,Microcystin,0.146,0.050,No,No
Douglas,Hammond Lake,L45876-2,44,06/11/2008,Microcystin,0.590,0.050,No,No
Douglas,Jameson Lake,L51751-1,44,09/15/2010,Anatoxin-a,<MDL,0.019,No,Yes
Douglas,Jameson Lake,L51751-1,44,09/15/2010,Microcystin,<MDL,0.050,No,Yes
Douglas,Jameson Lake,L49640-1,44,11/10/2009,Anatoxin-a,<MDL,0.038,No,No
Douglas,Jameson Lake,L49640-1,44,11/10/2009,Microcystin,<MDL,0.050,No,No
Douglas,Jameson Lake,L49321-1,44,10/06/2009,Microcystin,0.054,0.050,No,No
Douglas,Jameson Lake,L46967-1,44,11/12/2008,Microcystin,<MDL,0.050,No,No
Douglas,Jameson Lake,L46796-1,44,10/15/2008,Microcystin,0.080,0.050,No,No
Douglas,Jameson Lake,L46511-2,44,09/09/2008,Microcystin,<MDL,0.050,No,No
Douglas,Jameson Lake,L46322-2,44,08/12/2008,Microcystin,<MDL,0.050,No,No
Douglas,Jameson Lake,L45876-1,44,06/11/2008,Microcystin,<MDL,0.050,No,No
Douglas,Jameson Lake,L44534-1,44,11/14/2007,Microcystin,0.073,0.050,No,No
Douglas,Lake Pateros,L63598-4,50,08/24/2015,Anatoxin-a,0.086,0.010,No,No
Douglas,Lake Pateros,L63598-5,50,08/24/2015,Anatoxin-a,<MDL,0.010,No,No
Douglas,Lake Pateros,L63598-5,50,08/24/2015,Microcystin,<MDL,0.160,No,No
Douglas,Lake Pateros,L63598-4,50,08/24/2015,Microcystin,<MDL,0.160,No,No
Douglas,Lake Pateros,L61019-2,50,08/20/2014,Anatoxin-a,0.023,0.010,No,No
Douglas,Lake Pateros,L61019-1,50,08/20/2014,Anatoxin-a,0.011,0.010,No,No
Douglas,Lake Pateros,L61019-2,50,08/20/2014,Microcystin,<MDL,0.160,No,No
Douglas,Lake Pateros,L61019-1,50,08/20/2014,Microcystin,<MDL,0.160,No,No
Douglas,Lake Pateros,L56605-1,50,09/25/2012,Anatoxin-a,<MDL,0.019,No,No
Douglas,Lake Pateros,L56605-2,50,09/25/2012,Anatoxin-a,<MDL,0.019,No,No
Douglas,Lake Pateros,L56605-2,50,09/25/2012,Microcystin,<MDL,0.050,No,No
Douglas,Lake Pateros,L56605-1,50,09/25/2012,Microcystin,<MDL,0.050,No,No
Douglas,Lake Pateros,L56551-1,50,09/18/2012,Anatoxin-a,<MDL,0.019,No,Yes
Douglas,Lake Pateros,L56551-2,50,09/18/2012,Anatoxin-a,<MDL,0.019,No,Yes
Douglas,Lake Pateros,L56551-2,50,09/18/2012,Microcystin,0.154,0.050,No,Yes
Douglas,Lake Pateros,L56551-1,50,09/18/2012,Microcystin,0.192,0.050,No,Yes
Douglas,Lake Pateros,L56486-1,50,09/10/2012,Anatoxin-a,<MDL,0.019,No,Yes
Douglas,Lake Pateros,L56486-2,50,09/10/2012,Anatoxin-a,<MDL,0.019,No,Yes
Douglas,Lake Pateros,L56486-4,50,09/10/2012,Anatoxin-a,0.038,0.019,No,Yes
Douglas,Lake Pateros,L56486-3,50,09/10/2012,Anatoxin-a,<MDL,0.019,No,Yes
Douglas,Lake Pateros,L56486-3,50,09/10/2012,Microcystin,0.140,0.050,No,Yes
Douglas,Lake Pateros,L56486-4,50,09/10/2012,Microcystin,<MDL,0.050,No,Yes
Douglas,Lake Pateros,L56486-2,50,09/10/2012,Microcystin,<MDL,0.050,No,Yes
Douglas,Lake Pateros,L56486-1,50,09/10/2012,Microcystin,<MDL,0.050,No,Yes
Douglas,Lake Pateros,L56404-1,50,08/22/2012,Anatoxin-a,0.249,0.019,No,Yes
Douglas,Lake Pateros,L56404-1,50,08/22/2012,Microcystin,0.060,0.050,No,Yes
Douglas,Rufus Woods Lake,L68621-2,50,09/13/2017,Anatoxin-a,1.370,0.010,Yes,No
Douglas,Rufus Woods Lake,L68621-1,50,09/13/2017,Anatoxin-a,21.100,0.010,Yes,No
Douglas,Rufus Woods Lake,L68621-1,50,09/13/2017,Microcystin,<MDL,0.150,No,No
Douglas,Rufus Woods Lake,L68621-2,50,09/13/2017,Microcystin,<MDL,0.150,No,No
Douglas,Rufus Woods Lake,L68437-1,50,08/15/2017,Anatoxin-a,923.000,0.010,Yes,Yes
Douglas,Rufus Woods Lake,L68437-3,50,08/15/2017,Anatoxin-a,3.780,0.010,Yes,Yes
Douglas,Rufus Woods Lake,L68437-2,50,08/15/2017,Anatoxin-a,0.097,0.010,No,Yes
Douglas,Rufus Woods Lake,L68437-2,50,08/15/2017,Microcystin,<MDL,0.150,No,Yes
Douglas,Rufus Woods Lake,L68437-3,50,08/15/2017,Microcystin,0.287,0.150,No,Yes
Douglas,Rufus Woods Lake,L68437-1,50,08/15/2017,Microcystin,0.171,0.150,No,Yes
Douglas,Rufus Woods Lake,L68198-1,50,07/12/2017,Anatoxin-a,19.800,0.010,Yes,Yes
Douglas,Rufus Woods Lake,L68198-2,50,07/12/2017,Anatoxin-a,0.974,0.010,No,Yes
Douglas,Rufus Woods Lake,L68198-2,50,07/12/2017,Microcystin,<MDL,0.150,No,Yes
Douglas,Rufus Woods Lake,L68198-1,50,07/12/2017,Microcystin,0.333,0.150,No,Yes
Douglas,Rufus Woods Lake,L68019-1,50,06/14/2017,Anatoxin-a,0.462,0.010,No,No
Douglas,Rufus Woods Lake,L68019-1,50,06/14/2017,Microcystin,0.442,0.150,No,No
Douglas,Rufus Woods Lake,L67762-3,50,05/10/2017,Anatoxin-a,0.625,0.010,No,Yes
Douglas,Rufus Woods Lake,L67762-2,50,05/10/2017,Anatoxin-a,2.020,0.010,Yes,Yes
Douglas,Rufus Woods Lake,L67762-2,50,05/10/2017,Microcystin,0.979,0.150,No,Yes
Douglas,Rufus Woods Lake,L67762-3,50,05/10/2017,Microcystin,<MDL,0.150,No,Yes
Douglas,Rufus Woods Lake,L67509-2,50,04/05/2017,Anatoxin-a,0.152,0.010,No,No
Douglas,Rufus Woods Lake,L67509-1,50,04/05/2017,Anatoxin-a,0.237,0.010,No,No
